minimal_pair,paradigm,delta_score_42_childes,delta_score_13_childes,delta_score_30_childes,delta_score_42_wiki,delta_score_13_wiki,delta_score_30_wiki,delta_avg_childes,delta_avg_wiki
"der feind zweifelt am wetter und konstruiert ein modell, die feinde zweifeln am wetter und konstruiert ein modell",long_vp_coord,1.686155319213869,-0.4643750190734881,-1.4945669174194354,0.5504684448242205,0.24533843994140803,1.6510953903198242,-0.0909288724263515,0.8156340916951509
"die feinde zweifeln am wetter und konstruieren ein modell, der feind zweifelt am wetter und konstruieren ein modell",long_vp_coord,-0.9881410598754883,0.9095263481140119,2.8008852005004865,1.4019794464111346,2.565553665161133,0.9522075653076172,0.9074234962463367,1.6399135589599616
"der feind zweifelt am wetter und fürchtet den starken sturm, die feinde zweifeln am wetter und fürchtet den starken sturm",long_vp_coord,1.6062474250793457,1.985567569732666,1.955186843872072,2.660186767578125,2.1425700187683123,2.8328938484191895,1.8490006128946945,2.545216878255209
"die feinde zweifeln am wetter und fürchten den starken sturm, der feind zweifelt am wetter und fürchten den starken sturm",long_vp_coord,0.8223185539245605,-0.7981686592102033,-0.8205299377441406,-0.9799289703369176,0.6134009361267108,-1.9592037200927752,-0.2654600143432611,-0.775243918100994
"der feind zweifelt am wetter und schält den reifen grünen apfel, die feinde zweifeln am wetter und schält den reifen grünen apfel",long_vp_coord,1.5172252655029297,2.4635238647460938,0.9631557464599609,-0.30013036727905096,0.03737926483154297,0.4251847267150879,1.6479682922363281,0.054144541422526636
"die feinde zweifeln am wetter und schälen den reifen grünen apfel, der feind zweifelt am wetter und schälen den reifen grünen apfel",long_vp_coord,0.6005468368530256,-0.9447202682495135,1.8086700439453125,2.4353160858154297,0.5461363792419434,1.318089485168457,0.48816553751627484,1.4331806500752766
"der feind zweifelt am wetter und taucht in das wasser des meeres, die feinde zweifeln am wetter und taucht in das wasser des meeres",long_vp_coord,2.391304016113283,0.860931396484375,1.8474454879760742,1.4521350860595703,0.3553628921508789,0.3819894790649414,1.6998936335245773,0.7298291524251302
"die feinde zweifeln am wetter und tauchen in das wasser des meeres, der feind zweifelt am wetter und tauchen in das wasser des meeres",long_vp_coord,0.09424018859863281,0.40095043182373047,0.3517637252807617,-0.3244304656982422,1.4992780685424805,0.4985637664794922,0.282318115234375,0.5578037897745768
"der feind zweifelt am wetter und kennt die antwort auf die frage, die feinde zweifeln am wetter und kennt die antwort auf die frage",long_vp_coord,2.2166900634765607,2.25062847137451,2.289144515991211,2.1281328201293945,0.034698486328125,1.5336246490478498,2.2521543502807604,1.2321519851684564
"die feinde zweifeln am wetter und kennen die antwort auf die frage, der feind zweifelt am wetter und kennen die antwort auf die frage",long_vp_coord,0.213925361633299,1.2062635421752912,1.0320014953613281,-0.5224123001098633,0.8395633697509766,0.15420818328857422,0.8173967997233061,0.1571197509765625
"der feind zweifelt am wetter und schreibt einen brief an verwandte, die feinde zweifeln am wetter und schreibt einen brief an verwandte",long_vp_coord,2.8422365188598615,1.5128440856933612,3.333353042602539,1.678471565246582,2.1046667098999023,2.3456344604492188,2.5628112157185874,2.042924245198568
"die feinde zweifeln am wetter und schreiben einen brief an verwandte, der feind zweifelt am wetter und schreiben einen brief an verwandte",long_vp_coord,0.6351022720336896,1.6960086822509766,2.061335563659666,-0.09937763214111506,0.4204702377319336,-1.4707889556884766,1.4641488393147775,-0.38323211669921936
"der feind zweifelt am wetter und erzählt eine geschichte über die ferien, die feinde zweifeln am wetter und erzählt eine geschichte über die ferien",long_vp_coord,2.7900800704956055,1.3780784606933612,1.9667596817016602,1.7820377349853533,3.7392492294311523,6.3636913299560565,2.044972737630209,3.961659431457521
